model,dataset,loss,epoch,polarity_mean,semantic_mean
minilm-6,sarcastic-headlines,MultipleNegativesRankingLoss,1,66.541,41.155
minilm-6,sarcastic-headlines,MultipleNegativesRankingLoss,2,67.275,40.589
minilm-6,sarcastic-headlines,MultipleNegativesRankingLoss,3,67.968,40.264
minilm-6,sarcastic-headlines,MultipleNegativesRankingLoss,4,68.594,40.044
minilm-6,sarcastic-headlines,MultipleNegativesRankingLoss,5,68.978,39.852
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,1,67.35,38.875
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,2,71.377,36.821
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,3,75.014,33.981
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,4,77.984,31.095
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,5,80.478,29.186
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,1,67.065,37.817
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,2,70.677,35.971
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,3,74.377,33.095
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,4,77.548,30.261
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,5,79.969,28.516
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,1,66.731,36.331
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,2,70.225,34.813
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,3,73.319,32.358
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,4,76.685,29.707
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,5,79.039,28.285
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,1,66.604,34.083
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,2,70.241,32.656
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,3,73.683,30.011
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,4,76.498,28.178
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,5,78.867,27.092
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,1,66.112,29.567
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,2,69.378,29.017
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,3,73.317,27.351
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,4,76.482,26.118
minilm-6,sarcastic-headlines,OnlineContrastiveLoss,5,78.926,25.452
minilm-6,sarcastic-headlines,ContrastiveLoss,1,65.854,39.406
minilm-6,sarcastic-headlines,ContrastiveLoss,2,69.834,37.826
minilm-6,sarcastic-headlines,ContrastiveLoss,3,74.09,34.309
minilm-6,sarcastic-headlines,ContrastiveLoss,4,77.896,29.824
minilm-6,sarcastic-headlines,ContrastiveLoss,5,80.263,27.84
minilm-6,sarcastic-headlines,ContrastiveLoss,1,64.935,38.24
